Data,NE,NW,SE,SW
42005,0.4825,1.382608696,0.690517241,0.361333333
42006,2.004347826,2.493157895,1.436296296,2.019230769
42007,2.217582418,2.485549133,1.469172932,1.622513089
42008,0.908,1.797692308,2.393846154,1.445789474
42009,0.64625,1.335433071,1.320512821,4.131958763
42010,0.029577465,0.065277778,0.020224719,0.028823529
42011,1.042045455,1.344387755,0.554782609,0.659808612
42012,6.15106383,8.081372549,3.399264706,5.420657277
42013,8.05212766,7.349019608,7.025,7.811267606
42014,6.346808511,5.113170732,5.833823529,5.834123223
42015,3.717582418,2.584210526,1.080508475,2.633888889
42016,1.5,2.961025641,0.582727273,0.959405941
42017,0.553968254,1.241428571,0.057446809,0.365384615
42018,1.551219512,1.544378698,2.003883495,1.561111111
42019,0.540740741,0.688461538,0.046511628,0.050793651
42020,0.215,2.616521739,0.08125,0.232608696
42021,1.024,0.965384615,3.641121495,4.166336634
42022,0.22,0.224,0.746315789,0.112
42023,0.483333333,0.568376068,1.078125,0.18627451
42024,3.066666667,2.970769231,1.417171717,1.021904762
42025,0.186363636,0.391515152,1.168,0.08313253
42026,3.915662651,0.36835443,3.57109375,1.107913669
42027,0.812,0.201538462,1.331355932,0.892063492
42028,1.825555556,0.541333333,3.085714286,3.234302326
42029,1.551136364,0.562992126,3.405343511,2.30591133
42030,0.114457831,4.034673367,0.390990991,1.59138756
42031,0.761538462,1.552020202,0.842477876,2.162441315
42032,0.649462366,1.963934426,0.257009346,0.795336788
42033,0.944318182,0.71984127,0.699115044,0.319883041
42034,4.181521739,2.460824742,10.20367647,4.131862745
42035,2.590909091,1.9,1.369291339,0.355263158
42036,0.260810811,0.400699301,0.025,0.042857143
42037,0.119047619,1.123178808,1.138016529,0.439751553
42038,0.379220779,2.177435897,0.134615385,0.859898477
42039,0.309210526,0.571428571,0.844354839,0.5115
42040,0.041791045,0.031666667,0.051886792,0.045549738
42041,0.044615385,0.177094972,0.032989691,0.039285714
42042,2.752173913,2.029533679,2.143181818,2.714084507
42043,1.919565217,1.073626374,3.104444444,2.044339623
42044,1.540659341,0.496774194,5.368421053,6.082857143
42045,0.124675325,0.081034483,1.856302521,1.56875
42046,0.052380952,0.042857143,0.17032967,0.118918919
42047,0.015384615,0.0875,0.001388889,0.006796117
42048,0.011363636,0.05,0.003174603,0.002272727
42049,0.005,0.111111111,0,0.007407407
42050,0,0.02,0.001886792,0.001315789
42051,0,0.06,0.013461538,0.006944444
42052,0,0.233333333,0.001960784,0.006410256
42053,1.264705882,0.904761905,0.131818182,0.06043956
42054,0.211320755,0.241666667,0.090909091,0.027027027
42055,0,0.5,0.076923077,0
42056,0.005882353,0.088888889,0,0
